# The eleven-point cube of r*(3,3): a 3-uniform family on 11 points with 28
# members, no three pairwise disjoint, point degree <= 9, pair degree <= 3?
# Deficiencies 9 - d_v sum to 99 - 84 = 15; every point used has degree >= 1
# (degree 0 is the ten-point case, closed in rstar_3_3_10.tsv); sorted, a cube
# is a partition of 15 into at most 11 parts of size at most 8: 139 cubes,
# listed most-concentrated first in rstar_3_3_11.cubes.txt.  Solver: OR-Tools
# CP-SAT via tools/cuben.py (one worker), full lex-leader prefix K = 62 per
# equal-degree transposition, cut B = 16 (kernel-proved).  Driver:
# tools/sweep11.sh <cap> <jobs>, checkpointed: closed cubes are skipped on
# re-runs, UNKNOWN rows are the cap they ran to and are re-attempted.
# Pilot (docs/roadmap.md section 56.10): 8,7 in 0.6 s; 5,4,4,2 in 392 s;
# 3,3,3,3,3 and 2,2,2,2,1,1,1,1,1,1,1 UNKNOWN at 1800 s.
# cube	degrees	K	B	verdict	seconds	witness
3,3,3,3,1,1,1	6,6,6,6,8,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
3,3,3,2,2,2	6,6,6,7,7,7,9,9,9,9,9	62	16	UNKNOWN	1800.0	
3,3,3,2,2,1,1	6,6,6,7,7,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
3,3,3,2,1,1,1,1	6,6,6,7,8,8,8,8,9,9,9	62	16	UNKNOWN	1800.0	
3,3,3,1,1,1,1,1,1	6,6,6,8,8,8,8,8,8,9,9	62	16	UNKNOWN	1800.0	
3,3,2,2,2,2,1	6,6,7,7,7,7,8,9,9,9,9	62	16	UNKNOWN	1800.0	
3,3,1,1,1,1,1,1,1,1,1	6,6,8,8,8,8,8,8,8,8,8	62	16	INFEASIBLE	582.9	
3,3,2,2,2,1,1,1	6,6,7,7,7,8,8,8,9,9,9	62	16	UNKNOWN	1800.0	
3,3,2,2,1,1,1,1,1	6,6,7,7,8,8,8,8,8,9,9	62	16	UNKNOWN	1800.0	
3,3,2,1,1,1,1,1,1,1	6,6,7,8,8,8,8,8,8,8,9	62	16	UNKNOWN	1800.0	
3,2,2,2,2,2,2	6,7,7,7,7,7,7,9,9,9,9	62	16	UNKNOWN	1800.0	
3,2,2,2,2,2,1,1	6,7,7,7,7,7,8,8,9,9,9	62	16	UNKNOWN	1800.0	
3,2,2,2,2,1,1,1,1	6,7,7,7,7,8,8,8,8,9,9	62	16	UNKNOWN	1800.0	
3,2,2,2,1,1,1,1,1,1	6,7,7,7,8,8,8,8,8,8,9	62	16	UNKNOWN	1800.0	
3,2,2,1,1,1,1,1,1,1,1	6,7,7,8,8,8,8,8,8,8,8	62	16	UNKNOWN	1800.0	
2,2,2,2,2,2,2,1	7,7,7,7,7,7,7,8,9,9,9	62	16	UNKNOWN	1800.0	
2,2,2,2,2,2,1,1,1	7,7,7,7,7,7,8,8,8,9,9	62	16	UNKNOWN	1800.0	
2,2,2,2,2,1,1,1,1,1	7,7,7,7,7,8,8,8,8,8,9	62	16	UNKNOWN	1800.0	
2,2,2,2,1,1,1,1,1,1,1	7,7,7,7,8,8,8,8,8,8,8	62	16	UNKNOWN	1800.0	
5,4,3,1,1,1	4,5,6,8,8,8,9,9,9,9,9	62	16	INFEASIBLE	1685.6	
5,4,2,2,1,1	4,5,7,7,8,8,9,9,9,9,9	62	16	INFEASIBLE	2162.4	
5,4,3,2,1	4,5,6,7,8,9,9,9,9,9,9	62	16	INFEASIBLE	3603.5	
5,4,1,1,1,1,1,1	4,5,8,8,8,8,8,8,9,9,9	62	16	INFEASIBLE	1443.9	
5,4,2,1,1,1,1	4,5,7,8,8,8,8,9,9,9,9	62	16	INFEASIBLE	2554.3	
5,3,3,2,2	4,6,6,7,7,9,9,9,9,9,9	62	16	INFEASIBLE	1619.4	
5,3,3,1,1,1,1	4,6,6,8,8,8,8,9,9,9,9	62	16	INFEASIBLE	1906.5	
5,3,3,2,1,1	4,6,6,7,8,8,9,9,9,9,9	62	16	INFEASIBLE	2883.1	
5,3,2,2,2,1	4,6,7,7,7,8,9,9,9,9,9	62	16	INFEASIBLE	2998.4	
5,3,2,2,1,1,1	4,6,7,7,8,8,8,9,9,9,9	62	16	INFEASIBLE	4092.1	
5,2,2,2,2,1,1	4,7,7,7,7,8,8,9,9,9,9	62	16	INFEASIBLE	2210.3	
5,3,2,1,1,1,1,1	4,6,7,8,8,8,8,8,9,9,9	62	16	INFEASIBLE	4927.8	
4,4,4,2,1	5,5,5,7,8,9,9,9,9,9,9	62	16	INFEASIBLE	2227.1	
5,2,2,2,1,1,1,1	4,7,7,7,8,8,8,8,9,9,9	62	16	INFEASIBLE	2590.3	
4,4,4,1,1,1	5,5,5,8,8,8,9,9,9,9,9	62	16	INFEASIBLE	1535.7	
4,4,3,2,2	5,5,6,7,7,9,9,9,9,9,9	62	16	INFEASIBLE	3618.1	
4,4,3,3,1	5,5,6,6,8,9,9,9,9,9,9	62	16	INFEASIBLE	4069.7	
4,4,3,2,1,1	5,5,6,7,8,8,9,9,9,9,9	62	16	INFEASIBLE	5852.1	
4,4,3,1,1,1,1	5,5,6,8,8,8,8,9,9,9,9	62	16	INFEASIBLE	4444.0	
4,4,2,2,2,1	5,5,7,7,7,8,9,9,9,9,9	62	16	INFEASIBLE	5736.2	
4,3,3,3,2	5,6,6,6,7,9,9,9,9,9,9	62	16	INFEASIBLE	1607.6	
4,4,2,2,1,1,1	5,5,7,7,8,8,8,9,9,9,9	62	16	INFEASIBLE	6010.0	
4,3,3,3,1,1	5,6,6,6,8,8,9,9,9,9,9	62	16	INFEASIBLE	2513.5	
4,4,2,1,1,1,1,1	5,5,7,8,8,8,8,8,9,9,9	62	16	INFEASIBLE	5700.3	
